,Unnamed: 0,ID,Dirección Normalizada,COMUNA,XY (CABA),Longitud,Latitud,SEMESTRE
617,617,20200078,BARCO CENTENERA DEL 1118,7,Point (102405.37940842 99677.09327308),-58.43706741,-34.63217813,2
618,618,20200079,"PAZ, GRAL. AV. y GOYENECHE, ROBERTO PARQUE AV.",12,Point (97243.88021302 108974.21974638),-58.49332664,-34.54836855,2
619,619,20210001,AU FRONDIZI KM. 3,1,Point (107674.71781880 100334.26713627),-58.37960727,-34.62622851,1
620,620,20210002,"CASTRO, EMILIO AV. y MURGUIONDO",9,Point (95662.77651946 97729.83483715),-58.51061062,-34.64972472,1
621,621,20210003,AUTOPISTA 25 DE MAYO KM. 3.7,7,Point (103005.63484321 99983.28177809),-58.43052224,-34.62941648,1
622,622,20210004,CASEROS AV. y GUARANI,5,Point (104469.26511938 98956.35144845),-58.41455544,-34.63866836,1
623,623,20210005,"PERON, EVA AV. 3800",9,Point (99592.54465207 97999.69053974),-58.46774439,-34.64730145,1
624,624,20210006,AUTOPISTA ARTURO ILLIA y SARMIENTO AV.,14,Point (105087.20771949 106876.69794004),-58.40786274,-34.56726817,1
625,625,20210007,DE LOS CONSTITUYENTES AV. y GIRIBONE,15,Point (97784.94977398 104775.10084109),-58.48744301,-34.58622275,1
626,626,20210008,"SAENZ AV. y RABANAL, FRANCISCO, INTENDENTE AV.",4,Point (104283.01090451 97171.08656182),-58.41657793,-34.65476216,1
627,627,20210009,PAYSANDU y GAONA AV.,6,Point (100897.78829476 101987.96413026),-58.45351111,-34.61134937,1
628,628,20210010,"PAZ, GRAL. AV. y BALBIN, RICARDO, DR. AV.",12,Point (96563.66494817 108815.73881056),-58.5007381,-34.5497951,1
629,629,20210011,SANTA FE AV. 1675,2,Point (106591.90146932 103727.42053338),-58.39144148,-34.59564871,1
630,630,20210012,"DELLEPIANE, LUIS, TTE. GRAL. y GUAMINI",8,Point (98294.52407931 93943.96825453),-58.48191128,-34.68385968,1
631,631,20210013,"FALCON, RAMON L.,CNEL. y OLIVERA AV.",10,Point (97801.31825511 99194.93911759),-58.48727942,-34.63652467,1
632,632,20210014,SAN MARTIN AV. y NOGOYA,15,Point (98166.49822882 103491.41769625),-58.48328708,-34.59779521,1
633,633,20210015,SAN MARTIN AV. y TINOGASTA,15,Point (97533.67858226 103551.76003520),-58.49018543,-34.5972499,1
634,634,20210016,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. y DE LA TORRE, LISANDRO",8,Point (99175.17507833 93836.79626465),-58.47230127,-34.68482689,1
635,635,20210017,SALTA y CASEROS AV.,1,Point (107397.40269295 99729.43717725),-58.38262614,-34.63168269,1
636,636,20210018,"JAURES, JEAN y PERON, JUAN DOMINGO, TTE. GENERAL",3,Point (104845.36965581 102365.51025993),-58.41047268,-34.60793518,1
637,637,20210019,"TRIUNVIRATO AV. y LARRALDE, CRISOLOGO AV.",12,Point (96944.69676081 107291.52292157),-58.49659234,-34.56353635,1
638,638,20210020,POTOSI y GASCON,5,Point (103546.90832431 102439.67271563),-58.42462955,-34.60727189,1
639,639,20210021,"YRIGOYEN, HIPOLITO y 24 DE NOVIEMBRE",3,Point (104734.09567654 101930.58983096),-58.41168345,-34.61185625,1
640,640,20210022,DEL LIBERTADOR AV. y ROOSEVELT FRANKLIN D.,13,Point (101075.92147827 108552.55000854),-58.45157681,-34.55217303,1
641,641,20210023,AUTOPISTA BUENOS AIRES - LA PLATA,4,Point (. .),-58.47534,-34.68757,1
642,642,20210024,"PERON, EVA AV. y PIEDRA BUENA AV.",9,Point (97027.10745715 95474.44134863),-58.49573651,-34.67006054,1
643,643,20210025,"PAZ, GRAL. AV. y AUTOPISTA DELLEPIANE LUIS TTE. GRAL.",8,Point (97832.57143731 93489.83736533),-58.48695354,-34.68795245,1
644,644,20210026,"AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y QUINQUELA MARTIN, BENITO",4,Point (108038.11136985 98307.74373426),-58.37562539,-34.64449357,1
645,645,20210027,"PAZ, GRAL. AV. y DONADO",12,Point (97098.48468623 109019.96106626),-58.49491054,-34.54795581,1
646,646,20210028,"COREA AV. y TORRES Y TENORIO, PRES.",7,Point (102000.84898999 98412.66166222),-58.44147621,-34.64357704,1
647,647,20210029,"FALCON, RAMON L.,CNEL. y SAN PEDRITO AV.",7,Point (99478.13530470 99680.01615001),-58.46899119,-34.63215432,1
648,648,20210030,FINOCHIETTO ENRIQUE DR. 1623,4,Point (107009.29363805 99410.79524854),-58.38685612,-34.63455776,1
649,649,20210031,9 DE JULIO AV. e INDEPENDENCIA AV.,1,Point (107535.23922218 101285.66809968),-58.38113667,-34.61765323,1
650,650,20210032,"CANTILO, INT. y GUIRALDES, INT.",13,Point (102035.21425502 109304.90133530),-58.44112678,-34.54538956,1
651,651,20210033,AUTOPISTA 25 DE MAYO y BOEDO AV.,5,Point (104341.13684161 100202.74307433),-58.41595919,-34.62743346,1
652,652,20210034,"ALCORTA, AMANCIO AV. y ZAVALETA",4,Point (105634.57202683 98201.36000813),-58.40184094,-34.64546845,1
653,653,20210035,"JANER, ANA MARIA y LAFUENTE AV.",8,Point (101547.14246919 96946.08308197),-58.44642231,-34.65679806,1
654,654,20210036,"PAZ, GRAL. AV. y MOSCONI GENERAL AV.",11,Point (94486.28631712 103468.59928582),-58.52340614,-34.59798754,1
655,655,20210037,"MONROE y BALBIN, RICARDO, DR. AV.",13,Point (99707.12636872 107441.30935745),-58.46649069,-34.56219075,1
656,656,20210038,"JUSTO, JUAN B. AV. y SANTA FE AV.",14,Point (103373.45116327 105668.33246254),-58.42653328,-34.57816791,1
